ROI_00_0: Coordinates of top-left corner: (x=329, y=235)
ROI_00_1: Coordinates of top-left corner: (x=334, y=204)
ROI_00_2: Coordinates of top-left corner: (x=298, y=209)
ROI_00_3: Coordinates of top-left corner: (x=325, y=196)
ROI_00_4: Coordinates of top-left corner: (x=301, y=218)
ROI_00_5: Coordinates of top-left corner: (x=317, y=221)
ROI_00_6: Coordinates of top-left corner: (x=314, y=230)
ROI_00_7: Coordinates of top-left corner: (x=342, y=225)
ROI_00_8: Coordinates of top-left corner: (x=328, y=230)
ROI_00_9: Coordinates of top-left corner: (x=337, y=231)
ROI_01_0: Coordinates of top-left corner: (x=292, y=180)
ROI_01_1: Coordinates of top-left corner: (x=241, y=176)
ROI_01_2: Coordinates of top-left corner: (x=244, y=183)
ROI_01_3: Coordinates of top-left corner: (x=278, y=177)
ROI_01_4: Coordinates of top-left corner: (x=328, y=186)
ROI_01_5: Coordinates of top-left corner: (x=279, y=180)
ROI_01_6: Coordinates of top-left corner: (x=288, y=179)
ROI_01_7: Coordinates of top-left corner: (x=211, y=168)
ROI_01_8: Coordinates of top-left corner: (x=302, y=184)
ROI_01_9: Coordinates of top-left corner: (x=269, y=183)
ROI_02_0: Coordinates of top-left corner: (x=304, y=149)
ROI_02_1: Coordinates of top-left corner: (x=261, y=136)
ROI_02_2: Coordinates of top-left corner: (x=277, y=148)
ROI_02_3: Coordinates of top-left corner: (x=261, y=138)
ROI_02_4: Coordinates of top-left corner: (x=275, y=143)
ROI_02_5: Coordinates of top-left corner: (x=256, y=131)
ROI_02_6: Coordinates of top-left corner: (x=241, y=134)
ROI_02_7: Coordinates of top-left corner: (x=316, y=154)
ROI_02_8: Coordinates of top-left corner: (x=298, y=139)
ROI_02_9: Coordinates of top-left corner: (x=264, y=149)
ROI_03_0: Coordinates of top-left corner: (x=323, y=157)
ROI_03_1: Coordinates of top-left corner: (x=273, y=109)
ROI_03_2: Coordinates of top-left corner: (x=285, y=127)
ROI_03_3: Coordinates of top-left corner: (x=346, y=180)
ROI_03_4: Coordinates of top-left corner: (x=351, y=169)
ROI_03_5: Coordinates of top-left corner: (x=345, y=186)
ROI_03_6: Coordinates of top-left corner: (x=266, y=104)
ROI_03_7: Coordinates of top-left corner: (x=341, y=151)
ROI_03_8: Coordinates of top-left corner: (x=357, y=199)
ROI_03_9: Coordinates of top-left corner: (x=328, y=156)
ROI_04_0: Coordinates of top-left corner: (x=308, y=126)
ROI_04_1: Coordinates of top-left corner: (x=327, y=146)
ROI_04_2: Coordinates of top-left corner: (x=364, y=168)
ROI_04_3: Coordinates of top-left corner: (x=301, y=121)
ROI_04_4: Coordinates of top-left corner: (x=391, y=196)
ROI_04_5: Coordinates of top-left corner: (x=360, y=180)
ROI_04_6: Coordinates of top-left corner: (x=310, y=125)
ROI_04_7: Coordinates of top-left corner: (x=354, y=166)
ROI_04_8: Coordinates of top-left corner: (x=376, y=197)
ROI_04_9: Coordinates of top-left corner: (x=378, y=203)
ROI_05_0: Coordinates of top-left corner: (x=324, y=160)
ROI_05_1: Coordinates of top-left corner: (x=317, y=157)
ROI_05_2: Coordinates of top-left corner: (x=336, y=178)
ROI_05_3: Coordinates of top-left corner: (x=371, y=193)
ROI_05_4: Coordinates of top-left corner: (x=310, y=153)
ROI_05_5: Coordinates of top-left corner: (x=393, y=201)
ROI_05_6: Coordinates of top-left corner: (x=322, y=157)
ROI_05_7: Coordinates of top-left corner: (x=358, y=184)
ROI_05_8: Coordinates of top-left corner: (x=313, y=153)
ROI_05_9: Coordinates of top-left corner: (x=343, y=162)
